Ward name,Old code,New code,Population - 2015,Children aged 0-15 - 2015,Working-age (16-64) - 2015,Older people aged 65+ - 2015,% All Children aged 0-15 - 2015,% All Working-age (16-64) - 2015,% All Older people aged 65+ - 2015,Mean Age - 2013,Median Age - 2013,Area - Square Kilometres,Population density (persons per sq km) - 2013,% BAME - 2011,% Not Born in UK - 2011,% English is First Language of no one in household - 2011,General Fertility Rate - 2013,Male life expectancy -2009-13,Female life expectancy -2009-13 ,% children in reception year who are obese - 2011/12 to 2013/14,% children in year 6 who are obese- 2011/12 to 2013/14,"Rate of All Ambulance Incidents per 1,000 population - 2014",Rates of ambulance call outs for alcohol related illness - 2014,Number Killed or Seriously Injured on the roads - 2014,In employment (16-64) - 2011,Employment rate (16-64) - 2011,Number of jobs in area - 2013,Employment per head of resident WA population - 2013,Rate of new registrations of migrant workers - 2011/12,Median House Price (£) - 2014,Number of properties sold - 2014,Median Household income estimate (2012/13),Number of Household spaces - 2011,% detached houses - 2011,% semi-detached houses - 2011,% terraced houses - 2011,"% Flat, maisonette or apartment - 2011",% Households Owned - 2011,% Households Social Rented - 2011,% Households Private Rented - 2011,% dwellings in council tax bands A or B - 2015,"% dwellings in council tax bands C, D or E - 2015","% dwellings in council tax bands F, G or H - 2015",Claimant rate of key out-of-work benefits (working age client group) (2014),Claimant Rate of Housing Benefit (2015),Claimant Rate of Employment Support Allowance - 2014,Rate of JobSeekers Allowance (JSA) Claimants - 2015,% dependent children (0-18) in out-of-work households - 2014,% of households with no adults in employment with dependent children - 2011,% of lone parents not in employment - 2011,(ID2010) - Rank of average score (within London) - 2010,(ID2010) % of LSOAs in worst 50% nationally - 2010,Average GCSE capped point scores - 2014,Unauthorised Absence in All Schools (%) - 2013,% with no qualifications - 2011,% with Level 4 qualifications and above - 2011,A-Level Average Point Score Per Student - 2013/14,A-Level Average Point Score Per Entry; 2013/14,Crime rate - 2014/15,Violence against the person rate - 2014/15,"Deliberate Fires per 1,000 population - 2014",% area that is open space - 2014,Cars per household - 2011,Average Public Transport Accessibility score - 2014,% travel by bicycle to work - 2011,Turnout at Mayoral election - 2012
Richmond upon Thames - Hampton North,00BDGB,E05000521,9600.0,1850.0,6100.0,1650.0,19.4,63.4,17.2,39.8,40.0,1.9,5052.6,16.3,20.1,5.4,65.6,79.1,86.1,7.8,19.7,115.5,0.5,2.0,4482.0,73.5,2200.0,0.4,10.2,335000.0,174.0,39440.0,4184.0,15.9,25.8,30.8,27.4,62.1,22.5,12.4,1.9,80.2,17.8,11.3,10.7,4.9,1.9,13.9,4.1,40.8,474.0,33.3,310.4,0.8,17.6,36.3,684.9,204.8,47.9,15.8,0.4,28.2,1.2,2.1,5.5,35.3
Richmond upon Thames - Hampton Wick,00BDGC,E05000522,10550.0,2150.0,6900.0,1450.0,20.3,65.8,13.9,38.4,39.0,2.7,3888.9,11.4,20.3,4.5,53.0,80.9,87.8,6.4,10.1,98.6,0.7,1.0,4950.0,73.1,3300.0,0.5,12.7,455000.0,217.0,46760.0,4719.0,11.5,17.3,17.6,53.1,62.3,15.1,20.2,5.7,57.5,36.8,6.8,7.5,2.8,1.3,4.5,3.0,43.0,573.0,0.0,374.4,0.6,10.0,53.6,824.6,222.9,46.2,10.8,0.0,50.0,1.1,2.7,6.6,41.4
Richmond upon Thames - Heathfield,00BDGD,E05000523,10600.0,2100.0,6800.0,1700.0,19.9,64.1,16.0,38.2,37.0,1.9,5552.6,30.4,26.6,8.7,76.7,82.1,83.6,9.6,18.9,106.6,0.7,2.0,4752.0,70.8,1300.0,0.2,21.0,380500.0,104.0,36950.0,3996.0,7.5,56.4,10.7,25.5,65.3,21.2,11.4,6.7,77.4,15.9,10.5,9.3,4.5,2.5,12.1,5.4,47.6,465.0,16.7,324.4,1.0,20.4,29.8,640.2,197.2,55.3,19.0,0.6,27.1,1.2,2.0,3.6,33.1
Richmond upon Thames - Kew,00BDGE,E05000524,11650.0,2450.0,7450.0,1750.0,21.0,63.8,15.2,38.7,39.0,3.6,3236.1,15.3,30.2,7.6,64.6,84.5,89.0,3.5,12.6,87.2,0.3,2.0,5807.0,77.1,4300.0,0.6,21.1,630000.0,183.0,52130.0,5221.0,8.5,20.1,24.3,46.9,60.2,9.9,27.4,1.7,49.8,48.5,5.4,4.8,2.0,1.0,5.7,2.4,41.8,592.0,0.0,362.8,1.0,7.5,62.0,732.1,223.4,56.7,9.3,0.4,56.7,1.0,2.9,5.7,47.8
Richmond upon Thames - Mortlake and Barnes Common,00BDGF,E05000525,11100.0,2600.0,7100.0,1400.0,23.4,63.9,12.7,36.9,37.0,1.9,5815.8,11.7,25.6,5.2,91.8,82.3,86.7,5.3,11.3,76.3,0.5,4.0,5800.0,77.9,2600.0,0.4,16.8,746500.0,226.0,50100.0,5104.0,3.5,11.0,35.7,49.8,58.1,16.0,24.3,1.6,60.0,38.5,6.4,8.2,3.2,1.5,8.0,2.9,39.1,539.0,14.3,341.8,0.9,9.8,57.6,728.6,215.2,64.1,14.4,0.4,39.1,0.9,3.0,8.6,44.2
Richmond upon Thames - North Richmond,00BDGG,E05000526,11050.0,2200.0,7250.0,1600.0,19.9,65.6,14.5,38.2,37.0,2.8,3910.7,15.7,28.3,6.8,70.4,83.7,87.6,4.7,11.2,91.6,0.8,2.0,5695.0,78.4,4500.0,0.6,20.4,625625.0,168.0,50860.0,4943.0,3.1,22.7,32.3,41.9,56.6,16.9,24.5,2.4,61.8,35.8,6.3,7.8,2.8,1.3,5.0,2.4,36.0,554.0,14.3,359.6,0.9,10.2,59.0,769.6,220.6,58.6,14.1,0.2,54.1,0.9,4.4,6.2,48.0
Richmond upon Thames - St. Margarets & North Twickenham,00BDGH,E05000527,11800.0,2750.0,8000.0,1100.0,23.1,67.7,9.2,35.3,36.0,2.0,5775.0,12.3,23.3,4.8,88.3,85.2,85.8,4.0,8.9,78.8,0.6,4.0,6200.0,80.8,4000.0,0.5,12.2,600000.0,225.0,52870.0,4744.0,9.4,23.7,25.8,40.6,68.3,4.0,25.3,2.1,61.8,36.1,4.3,3.4,1.4,0.8,2.9,2.0,32.9,615.0,0.0,369.3,0.6,6.6,62.6,759.7,215.8,58.3,11.5,0.3,23.6,1.1,3.1,6.1,45.2
Richmond upon Thames - South Richmond,00BDGJ,E05000528,11100.0,1900.0,7600.0,1550.0,17.1,68.7,14.2,38.7,37.0,2.7,4092.6,13.1,33.0,8.5,68.6,81.5,86.0,4.7,9.9,128.8,1.8,4.0,5715.0,76.0,13200.0,1.7,29.4,655000.0,248.0,52690.0,5476.0,7.5,12.2,21.0,59.4,51.5,13.9,32.7,1.5,59.4,39.2,4.7,6.2,1.7,1.1,4.0,1.4,30.8,584.0,14.3,361.4,1.0,7.1,63.6,666.6,197.9,110.7,22.1,0.1,47.4,0.9,4.2,3.8,43.8
Richmond upon Thames - South Twickenham,00BDGK,E05000529,10100.0,2000.0,6900.0,1200.0,19.6,68.6,11.8,36.6,36.0,1.7,5970.6,9.7,18.8,4.0,67.2,83.7,87.3,5.8,8.7,75.0,0.7,3.0,5458.0,76.8,4300.0,0.6,13.9,555500.0,196.0,51380.0,4153.0,6.3,24.3,35.8,32.8,70.5,6.6,21.3,3.7,60.7,35.5,4.6,4.0,1.9,0.9,3.3,1.3,31.8,617.0,0.0,375.6,0.4,6.4,55.3,813.8,227.1,35.3,9.0,0.2,26.7,1.1,3.5,5.9,40.4
Richmond upon Thames - Teddington,00BDGL,E05000530,10550.0,2050.0,6900.0,1600.0,19.3,65.5,15.2,39.0,39.0,4.3,2453.5,8.9,17.8,4.1,59.6,80.9,85.5,7.4,5.9,138.6,1.0,4.0,5564.0,79.9,8400.0,1.2,14.7,499950.0,190.0,50600.0,4792.0,7.2,20.5,26.3,46.1,66.3,8.5,23.5,3.3,61.7,34.9,5.2,5.0,2.2,1.0,4.3,1.2,25.8,618.0,0.0,378.2,0.5,7.7,58.5,797.2,223.6,46.4,10.1,0.1,64.0,1.1,3.2,5.5,44.6
Richmond upon Thames - Twickenham Riverside,00BDGM,E05000531,10650.0,2000.0,7250.0,1350.0,19.0,68.1,12.9,38.2,37.0,2.0,5325.0,10.3,26.8,7.2,66.1,81.7,83.8,3.2,7.6,103.7,1.6,1.0,5916.0,80.7,8400.0,1.2,17.1,458725.0,212.0,51350.0,5057.0,4.6,14.0,20.6,60.2,57.5,6.2,34.3,5.1,60.2,34.7,3.9,4.1,1.6,0.9,3.1,1.5,38.2,601.0,0.0,366.1,0.8,6.2,63.8,806.1,219.9,66.7,20.2,0.3,37.8,0.9,4.5,4.8,41.7
Richmond upon Thames - West Twickenham,00BDGN,E05000532,10750.0,2400.0,6950.0,1350.0,22.5,64.8,12.7,36.8,37.0,2.5,4280.0,16.0,21.1,4.4,77.3,79.4,88.6,5.3,10.8,93.0,0.4,4.0,5568.0,79.5,2100.0,0.3,13.2,450000.0,217.0,45040.0,4366.0,3.4,30.3,41.2,25.1,71.7,11.5,15.3,1.1,88.9,10.0,6.4,6.2,2.7,1.1,6.5,2.5,27.7,569.0,14.3,333.9,0.6,13.4,45.1,726.0,209.5,55.2,13.6,0.4,45.6,1.1,2.7,6.2,37.4
Richmond upon Thames - Whitton,00BDGP,E05000533,10050.0,1900.0,6300.0,1800.0,19.1,62.9,17.9,39.5,39.0,1.6,6250.0,21.5,23.3,6.7,62.0,80.2,85.0,9.3,14.5,104.8,0.9,1.0,4802.0,76.5,1400.0,0.2,18.1,420000.0,156.0,42230.0,3904.0,8.1,46.0,23.7,22.3,73.7,9.8,14.7,4.1,85.4,10.5,7.0,5.5,2.3,1.1,7.4,2.4,35.9,565.0,16.7,341.0,0.9,17.0,36.9,722.2,205.2,49.6,13.3,0.5,21.2,1.2,2.4,5.4,39.4
Southwark - Brunswick Park,00BEGC,E05000534,13600.0,2700.0,9900.0,950.0,19.8,73.1,7.1,33.4,32.0,0.9,14833.3,53.3,40.6,10.7,72.9,76.6,84.1,11.9,27.4,128.7,0.6,2.0,6446.0,66.8,6700.0,0.7,56.7,346500.0,162.0,36310.0,5365.0,1.8,4.8,19.3,74.1,30.1,46.6,20.5,40.8,55.4,3.8,14.1,16.3,5.0,4.0,22.5,6.0,41.3,201.0,100.0,315.9,1.3,15.2,41.5,639.9,203.4,104.8,33.6,0.6,7.0,0.5,4.1,10.3,37.0
Southwark - Camberwell Green,00BEGD,E05000535,15950.0,3400.0,11450.0,1100.0,21.3,71.7,7.0,33.5,32.0,1.0,15450.0,61.1,46.8,13.4,65.3,74.3,80.9,16.3,31.7,145.9,1.0,3.0,6937.0,64.6,5400.0,0.5,75.1,310000.0,113.0,31840.0,6264.0,1.1,2.3,6.9,89.6,15.4,63.5,18.5,55.7,42.9,1.4,16.2,20.9,6.0,4.6,23.5,7.0,38.1,133.0,100.0,304.4,1.1,19.3,34.3,628.4,203.7,111.2,37.1,1.0,1.6,0.4,5.6,7.5,33.9
Southwark - Cathedrals,00BEGE,E05000536,17250.0,1700.0,14350.0,1200.0,9.9,83.1,7.0,33.5,29.0,1.8,9027.8,38.4,40.0,10.4,34.6,76.0,84.5,11.4,22.8,233.1,3.7,9.0,7697.0,62.9,65500.0,4.9,50.7,580000.0,201.0,40430.0,6528.0,1.0,1.9,8.3,88.9,24.0,42.8,28.7,32.3,50.4,17.3,12.5,13.3,4.6,3.5,25.6,4.0,43.5,250.0,100.0,312.8,1.5,12.7,45.8,602.1,194.8,184.9,32.3,0.7,15.7,0.4,8.0,7.5,30.0
Southwark - Chaucer,00BEGF,E05000537,16200.0,2300.0,13050.0,850.0,14.3,80.5,5.2,31.6,29.0,0.8,19750.0,49.9,45.2,13.3,34.9,80.9,83.7,12.8,23.3,132.8,1.5,6.0,8056.0,66.4,18000.0,1.4,65.4,442000.0,187.0,37780.0,6439.0,0.5,0.9,3.0,95.6,21.4,43.3,29.7,40.3,50.7,9.0,10.1,12.6,3.3,3.3,24.3,5.5,46.0,280.0,88.9,318.3,1.1,11.3,48.8,628.9,202.6,114.4,29.4,0.1,5.6,0.4,7.2,7.0,34.2
Southwark - College,00BEGG,E05000538,11900.0,2450.0,8000.0,1400.0,20.6,67.4,12.0,36.7,36.0,3.2,3687.5,36.6,30.7,5.3,77.4,80.2,86.6,14.1,24.7,108.6,0.6,5.0,5705.0,71.1,1900.0,0.2,25.1,350000.0,205.0,42600.0,5157.0,10.0,10.7,12.7,66.6,49.5,27.2,20.6,32.6,50.2,17.2,12.2,11.9,4.9,2.9,16.1,6.0,48.9,297.0,85.7,324.0,1.0,13.6,48.7,627.9,207.2,73.3,16.6,0.4,43.7,0.8,3.4,5.4,40.6
Southwark - East Dulwich,00BEGH,E05000539,12400.0,2500.0,8800.0,1150.0,20.0,70.9,9.1,35.6,35.0,1.0,12250.0,28.2,25.9,5.6,87.9,79.1,85.2,5.9,19.3,106.2,0.5,2.0,7196.0,79.2,2700.0,0.3,21.1,572500.0,262.0,48670.0,5503.0,2.2,13.3,35.5,48.9,52.3,20.3,25.8,25.5,71.2,3.3,8.8,7.9,3.9,1.9,10.4,2.6,38.1,390.0,85.7,333.7,1.1,12.3,56.5,669.7,210.5,60.3,15.6,0.2,0.7,0.7,4.1,8.9,40.7
Southwark - East Walworth,00BEGJ,E05000540,13850.0,2450.0,10300.0,1100.0,17.8,74.4,7.8,33.3,30.0,1.1,11545.5,51.8,43.8,13.7,53.0,77.5,83.2,16.4,35.0,206.5,2.2,3.0,5291.0,62.5,4100.0,0.4,65.0,315000.0,98.0,31010.0,4807.0,1.6,3.2,12.2,82.9,15.7,53.9,27.1,48.4,50.1,1.5,16.2,17.0,5.0,4.1,26.5,7.4,42.6,82.0,100.0,319.5,1.4,20.8,32.4,594.9,193.6,159.3,44.6,0.3,24.1,0.4,5.8,7.0,34.5
Southwark - Faraday,00BEGK,E05000541,13050.0,3000.0,9100.0,1000.0,23.0,69.5,7.5,32.8,31.0,0.9,14333.3,60.7,45.9,14.6,87.5,79.3,84.0,19.0,30.2,122.5,0.8,3.0,5581.0,62.3,1400.0,0.2,67.7,315000.0,83.0,30760.0,5097.0,0.8,1.8,8.4,89.1,13.6,68.4,16.7,61.2,38.3,0.5,13.9,19.3,5.0,4.9,24.0,8.8,44.3,148.0,100.0,319.9,1.2,21.8,28.6,651.6,206.7,97.4,30.0,1.4,30.0,0.4,4.7,6.9,31.2
Southwark - Grange,00BEGL,E05000542,17600.0,2500.0,14100.0,1000.0,14.1,80.2,5.7,32.7,30.0,1.2,13750.0,39.1,38.3,10.8,35.0,75.4,82.2,14.3,27.1,198.7,1.5,2.0,8428.0,69.1,16800.0,1.3,67.5,500000.0,320.0,38500.0,7442.0,0.7,1.7,6.6,90.8,21.9,45.0,29.8,37.7,54.2,8.1,13.1,14.8,4.7,3.1,30.8,5.4,48.9,210.0,87.5,322.1,1.4,15.7,46.3,639.1,200.9,106.2,25.5,0.8,4.5,0.4,5.1,7.1,29.6
Southwark - Livesey,00BEGM,E05000543,15000.0,3450.0,10300.0,1300.0,22.9,68.5,8.6,33.3,31.0,1.4,10357.1,62.2,44.3,11.9,67.2,78.6,85.0,15.0,31.6,148.5,0.7,5.0,5742.0,60.3,4000.0,0.4,65.4,289995.0,101.0,28880.0,5612.0,2.5,4.7,15.2,77.3,15.7,66.9,14.5,46.9,53.1,0.0,19.8,22.2,6.5,5.3,26.1,9.8,46.8,81.0,100.0,314.3,1.3,23.8,27.9,629.1,200.1,98.2,31.9,0.6,4.5,0.4,4.3,4.9,33.8
Southwark - Newington,00BEGN,E05000544,15500.0,2600.0,11650.0,1250.0,16.9,75.1,8.0,34.1,31.0,0.8,18562.5,48.2,42.5,13.6,50.0,78.9,83.0,13.7,26.6,176.0,1.4,4.0,6957.0,66.3,6900.0,0.6,64.1,380000.0,141.0,34190.0,6481.0,0.9,2.8,12.9,83.3,21.9,54.2,21.3,46.3,51.2,2.5,15.6,18.8,5.6,4.2,26.5,7.1,45.0,167.0,100.0,320.0,1.3,19.4,37.5,666.6,206.6,110.4,31.7,0.9,3.7,0.4,5.8,8.7,36.4
Southwark - Nunhead,00BEGP,E05000545,13850.0,2850.0,9750.0,1250.0,20.7,70.3,9.0,34.8,33.0,1.3,10538.5,55.5,39.0,9.1,87.5,76.5,78.7,14.5,24.8,149.2,0.5,2.0,6328.0,65.0,1200.0,0.1,51.1,356250.0,171.0,33540.0,5748.0,3.2,7.1,30.9,58.6,30.8,47.4,18.9,43.3,56.2,0.5,22.0,20.2,8.0,4.8,26.0,7.2,45.1,93.0,100.0,325.3,1.0,21.1,34.8,627.7,203.4,68.7,23.8,0.6,20.1,0.5,4.8,7.4,34.5
Southwark - Peckham,00BEGQ,E05000546,15350.0,3650.0,10600.0,1100.0,23.7,69.1,7.2,32.2,30.0,0.9,16666.7,70.8,47.6,12.3,75.8,76.1,80.7,15.9,30.1,144.6,0.6,1.0,6258.0,61.2,1400.0,0.1,62.9,285000.0,147.0,30030.0,5536.0,2.6,6.7,18.0,72.6,18.8,59.4,17.4,45.9,53.9,0.2,19.6,20.7,6.1,5.6,25.3,10.3,46.7,125.0,100.0,321.0,1.0,19.6,30.6,652.2,202.1,95.7,32.7,0.5,7.0,0.5,4.1,5.0,33.9
Southwark - Peckham Rye,00BEGR,E05000547,13550.0,2950.0,9450.0,1150.0,21.7,69.8,8.5,34.5,34.0,2.3,5847.8,35.8,28.8,5.9,79.2,80.0,83.8,9.2,19.7,88.8,0.3,2.0,7263.0,74.9,1400.0,0.1,23.0,421000.0,241.0,42820.0,5835.0,2.3,13.6,23.3,60.7,46.7,25.3,25.6,31.5,65.3,3.1,12.4,11.6,4.6,2.8,17.4,5.2,43.8,307.0,85.7,330.4,0.8,13.8,49.7,667.9,206.4,56.5,15.9,0.1,45.7,0.7,3.5,9.2,39.9
Southwark - Riverside,00BEGS,E05000548,16600.0,2250.0,13300.0,1050.0,13.6,80.1,6.4,34.3,32.0,1.3,11923.1,31.2,40.5,12.7,43.5,79.6,83.9,9.8,24.1,133.2,1.0,3.0,8745.0,74.9,46700.0,3.7,65.8,585000.0,299.0,43110.0,7585.0,0.5,1.2,5.2,92.7,28.7,34.3,32.3,29.9,44.7,25.4,10.4,11.3,3.2,2.0,25.3,4.1,52.0,285.0,71.4,298.5,1.6,13.5,54.9,610.0,194.8,101.9,20.8,0.4,23.2,0.5,4.4,5.5,30.5
Southwark - Rotherhithe,00BEGT,E05000549,15050.0,2650.0,11350.0,1050.0,17.7,75.4,6.9,33.2,31.0,1.5,9600.0,40.9,43.4,15.2,57.7,78.1,82.5,10.3,31.6,136.3,0.7,1.0,7175.0,69.3,3400.0,0.3,76.5,421800.0,185.0,36970.0,6173.0,1.3,4.5,13.6,80.6,24.3,45.6,25.7,34.0,60.1,5.9,14.6,14.8,4.4,2.9,27.4,6.9,50.2,236.0,87.5,312.4,1.0,17.5,43.0,680.5,211.6,97.5,25.6,0.7,34.1,0.5,5.3,5.4,31.0
Southwark - South Bermondsey,00BEGU,E05000550,14400.0,2850.0,10500.0,1050.0,19.8,72.9,7.4,33.1,31.0,1.0,14050.0,44.8,41.1,14.6,58.7,78.3,84.6,11.2,29.6,119.3,0.5,0.0,6452.0,64.8,2300.0,0.2,57.2,288025.0,112.0,31150.0,5808.0,1.9,4.9,16.4,76.8,21.2,52.3,21.8,40.1,59.4,0.5,16.4,18.0,5.7,3.5,26.8,8.2,48.7,128.0,100.0,310.2,1.4,21.9,30.9,622.1,201.0,103.3,28.6,0.3,3.0,0.5,3.7,6.3,30.4
Southwark - South Camberwell,00BEGW,E05000551,13200.0,2550.0,9700.0,950.0,19.2,73.5,7.3,33.3,32.0,1.3,9884.6,44.1,35.8,7.7,65.7,79.7,87.6,10.2,23.9,86.7,0.6,1.0,6543.0,70.7,3000.0,0.3,30.4,396089.0,184.0,41130.0,5213.0,2.2,10.9,16.6,70.3,39.7,37.9,20.2,39.7,54.7,5.6,10.8,11.7,3.9,3.0,15.2,5.8,39.6,318.0,87.5,325.4,0.9,12.4,49.0,675.8,211.2,52.2,15.8,0.2,19.9,0.6,4.6,8.8,38.4
Southwark - Surrey Docks,00BEGX,E05000552,15400.0,1950.0,12500.0,950.0,12.7,81.1,6.1,33.9,32.0,1.9,7605.3,30.9,42.7,15.4,42.9,78.5,82.4,8.5,23.2,81.0,0.2,3.0,8567.0,77.7,2700.0,0.2,54.8,415000.0,289.0,45410.0,6298.0,1.6,7.6,20.8,68.8,38.4,23.9,35.0,6.5,78.0,15.5,7.2,8.0,2.3,1.7,16.7,3.5,40.9,388.0,50.0,319.0,1.4,11.8,56.0,679.7,213.8,53.7,11.0,1.4,40.3,0.6,2.9,6.3,29.7
Southwark - The Lane,00BEGY,E05000553,16450.0,3550.0,11450.0,1450.0,21.6,69.7,8.8,34.2,33.0,1.4,11357.1,50.7,37.7,8.5,75.4,79.1,83.0,13.2,29.2,153.3,1.2,7.0,7623.0,68.9,4900.0,0.4,46.7,407500.0,170.0,37940.0,6543.0,2.8,8.6,26.0,62.7,32.5,41.5,21.7,38.1,59.6,2.4,15.0,15.7,5.5,3.6,19.9,6.7,47.4,151.0,100.0,308.7,1.1,17.5,42.0,648.8,205.5,138.1,40.1,0.4,6.0,0.5,6.0,9.9,37.6
Southwark - Village,00BEGZ,E05000554,12500.0,2800.0,8200.0,1500.0,22.3,65.7,12.0,36.8,37.0,2.8,4446.4,20.1,22.0,3.5,57.4,83.7,85.9,6.6,12.0,69.8,0.4,1.0,6258.0,77.2,3100.0,0.4,13.9,850000.0,173.0,58400.0,4733.0,6.5,29.4,31.5,32.5,64.9,15.5,18.2,7.2,45.3,47.6,7.0,5.5,2.3,1.2,5.1,2.3,30.3,479.0,28.6,356.9,0.4,9.4,63.7,783.3,234.3,57.5,9.5,0.0,33.8,1.0,4.1,10.2,51.7
Sutton - Beddington North,00BFGC,E05000555,10550.0,2200.0,6850.0,1550.0,20.7,64.8,14.5,38.5,39.0,5.0,2110.0,23.5,16.6,3.8,60.0,80.4,86.2,6.3,20.4,97.9,0.5,1.0,5250.0,77.2,9500.0,1.4,9.1,289000.0,183.0,39290.0,4103.0,7.0,42.7,35.2,15.1,79.9,9.0,10.1,5.5,90.4,4.1,7.8,5.3,2.7,0.9,8.5,2.5,31.0,512.0,14.3,340.7,0.9,19.8,25.1,796.7,221.8,59.6,14.8,0.3,53.0,1.3,2.6,2.2,33.2
Sutton - Beddington South,00BFGD,E05000556,10900.0,2350.0,6850.0,1750.0,21.4,62.7,15.9,38.0,38.0,3.1,3548.4,28.8,20.1,4.2,46.7,80.0,84.6,8.6,21.8,105.9,0.6,1.0,4718.0,69.1,2100.0,0.3,8.7,386000.0,112.0,35600.0,4201.0,24.4,23.7,22.1,29.8,54.7,35.9,5.8,20.4,48.1,31.5,14.6,13.5,5.6,2.5,20.0,6.5,48.3,336.0,57.1,320.2,1.4,21.0,26.7,751.9,218.4,52.9,16.3,0.6,39.0,1.3,2.0,1.6,31.8
Sutton - Belmont,00BFGE,E05000557,10350.0,1900.0,6600.0,1800.0,18.5,63.9,17.6,40.2,40.0,2.3,4500.0,22.2,22.1,4.8,55.2,80.7,85.6,7.9,17.2,123.9,0.6,2.0,5042.0,76.2,4300.0,0.7,11.5,290000.0,203.0,44260.0,4475.0,22.6,18.1,14.6,44.7,69.9,10.0,18.8,12.6,51.5,35.8,7.8,7.1,2.4,1.3,7.8,2.7,36.2,525.0,14.3,369.5,0.9,13.7,40.4,746.8,221.7,35.6,11.0,0.2,19.0,1.2,2.3,1.6,38.0
Sutton - Carshalton Central,00BFGF,E05000558,10400.0,2050.0,6750.0,1600.0,19.8,64.9,15.3,39.1,39.0,2.0,5200.0,13.7,15.0,3.7,67.6,82.2,84.7,6.4,13.1,85.6,0.6,2.0,5302.0,78.6,2600.0,0.4,6.7,318000.0,181.0,42200.0,4260.0,12.4,40.1,16.9,30.6,75.5,7.0,16.7,5.2,81.8,13.0,7.4,5.9,2.4,0.9,8.2,2.3,36.7,562.0,14.3,360.3,0.8,15.4,35.7,761.0,218.8,44.4,12.7,0.3,26.9,1.2,3.3,2.9,38.1
Sutton - Carshalton South and Clockhouse,00BFGG,E05000559,10200.0,2150.0,6350.0,1750.0,20.8,62.3,16.9,39.4,41.0,7.1,1422.5,16.7,13.9,2.4,52.6,81.5,84.4,5.9,14.6,79.9,0.2,3.0,4741.0,76.5,1900.0,0.3,3.8,419995.0,161.0,44270.0,3614.0,25.5,44.1,11.6,18.6,81.2,10.6,7.2,11.6,47.6,40.8,6.9,4.3,2.6,1.1,7.4,2.7,34.6,543.0,16.7,359.6,1.0,15.5,34.8,745.2,220.8,34.1,9.3,0.3,68.2,1.5,2.1,1.7,38.2
Sutton - Cheam,00BFGH,E05000560,10550.0,1950.0,6450.0,2150.0,18.5,61.1,20.3,41.6,43.0,3.9,2705.1,21.2,18.6,3.3,46.1,82.4,83.1,7.1,12.5,104.9,0.4,0.0,4749.0,76.4,3800.0,0.6,10.9,376000.0,157.0,46220.0,4005.0,38.2,23.0,18.6,20.2,83.4,2.5,13.0,2.4,54.1,43.5,4.8,2.9,1.6,0.9,3.9,1.9,29.9,613.0,0.0,364.0,0.6,14.6,38.6,821.8,231.1,33.9,7.4,0.3,24.7,1.5,2.2,1.8,41.2
Sutton - Nonsuch,00BFGJ,E05000561,10900.0,1900.0,6950.0,2050.0,17.5,63.6,18.9,41.1,42.0,1.9,5736.8,15.3,15.7,3.6,55.9,83.5,88.5,4.6,10.7,110.6,0.7,0.0,5402.0,79.1,2500.0,0.4,8.9,388500.0,142.0,42640.0,4061.0,9.1,44.4,27.5,18.9,85.5,3.6,10.0,3.4,78.2,18.4,5.5,3.2,1.9,0.7,4.8,1.5,29.1,603.0,0.0,357.1,0.5,18.6,27.1,743.1,216.6,44.4,10.2,0.2,10.4,1.4,2.3,2.3,37.8
Sutton - St. Helier,00BFGK,E05000562,12300.0,3050.0,7950.0,1300.0,24.7,64.7,10.7,34.7,34.0,1.5,8200.0,25.5,22.6,8.1,66.1,77.4,83.8,11.5,26.5,144.2,0.4,4.0,5418.0,69.6,4300.0,0.5,16.1,248000.0,124.0,31040.0,4625.0,3.5,14.3,59.8,22.4,45.6,40.5,11.8,12.9,86.9,0.2,14.7,15.8,4.6,2.4,20.3,7.6,45.7,259.0,100.0,311.3,1.3,27.3,17.7,634.7,208.5,71.9,28.7,0.4,25.8,1.0,2.9,1.8,22.0
Sutton - Stonecot,00BFGL,E05000563,11000.0,2050.0,7150.0,1750.0,18.7,65.3,16.0,39.3,40.0,2.0,5500.0,20.9,18.1,5.2,46.2,79.6,83.1,8.5,20.3,80.0,0.3,1.0,5420.0,77.9,2900.0,0.4,10.1,347500.0,164.0,39210.0,3988.0,2.9,50.1,35.3,11.8,85.5,3.7,9.7,2.2,97.3,0.5,6.2,3.3,2.3,1.0,5.3,2.4,29.6,561.0,0.0,351.1,0.5,20.5,22.5,732.8,218.3,48.5,11.5,0.8,21.5,1.4,2.5,1.9,32.0
Sutton - Sutton Central,00BFGM,E05000564,11550.0,2500.0,7800.0,1300.0,21.4,67.4,11.2,36.0,35.0,1.3,8769.2,24.1,26.9,9.7,79.3,79.4,82.8,9.1,20.6,196.8,1.7,1.0,5793.0,75.6,16000.0,2.1,25.3,240000.0,312.0,35660.0,5335.0,2.4,14.0,23.2,60.3,51.0,22.7,23.1,20.1,79.6,0.4,12.3,14.4,5.4,2.6,15.5,4.7,46.7,364.0,42.9,313.5,1.3,18.6,31.2,713.1,216.7,158.4,46.8,2.0,12.9,0.8,4.9,2.2,30.2
